Produit,Allergène,Score,Lien,pix,Description,composition
HENRI RAFFIN     Plateau de saison 180g24 tranches environ,na,na,https://www.auchan.fr/henri-raffin-plateau-de-saison/pr-C1217109,2631,plateau de saison   tr    g,na
4 GOURMETS DE L'ARTOIS     Rosette 90g,lait,na,https://www.auchan.fr/gourmets-de-l-artois-rosette/pr-C1217718,2632,na,na
33 AUCHAN     Rosette 150g15 tranches,"presence de   anhydride sulfureux et sulfites en concentrations de plus de    mg/kg ou    mg/litre expr  en so,lait et produits a base de lait  y compris lactose traces de   noisettes  corylus avellana, et produits a base de noisettes,noix  juglans regia, et produits a base de noix",E,https://www.auchan.fr/auchan-rosette/pr-C1221225,2633,na,na
7 POUCE     Rosette 100g10 tranches,"presence de   lait et produits a base de lait  y compris lactose traces de   anhydride sulfureux et sulfites en concentrations de plus de    mg/kg ou    mg/litre expr  en so,noisettes  corylus avellana, et produits a base de noisettes",E,https://www.auchan.fr/pouce-rosette/pr-C1201962,2634,na,na
3           Rosette de lyon 100g10 tranches,lactose,E,https://www.auchan.fr/rosette-de-lyon/pr-C1186393,2635,na,na
COCHONOU     Rosette -25% de sel 100g10 tranches,lactose,E,https://www.auchan.fr/cochonou-rosette-25-de-sel/pr-C1202118,2636,na,na
AUCHAN     Rosette -25% de sel 100g10 tranches,"presence de   anhydride sulfureux et sulfites en concentrations de plus de    mg/kg ou    mg/litre expr  en so,lait et produits a base de lait  y compris lactose traces de   noisettes  corylus avellana, et produits a base de noisettes,noix  juglans regia, et produits a base de noix",E,https://www.auchan.fr/auchan-rosette-25-de-sel/pr-C1417467,2637,na,na
6 HERTA     Bacon fumé sans antibiotiques 100g10 tranches,na,D,https://www.auchan.fr/herta-bacon-fume-sans-antibiotiques/pr-C1202686,2638,na,na
1 BONI     Fuseau lorrain fumé au bois en tranche 100g,lactose,na,https://www.auchan.fr/boni-fuseau-lorrain-fume-au-bois-en-tranche/pr-C1220289,2639,na,na
3 HERTA     Tarte en Or Pâte feuilletée sans additif 230g,"ble,gluten",D,https://www.auchan.fr/herta-tarte-en-or-pate-feuilletee-sans-additif/pr-C1302676,2640,na,na
